Styczeń,Luty,Marzec,Kwiecień,Maj,Czerwiec,Lipiec,Sierpień,Wrzesień,Październik,Listopad,Grudzień,Średnia
87370,71223,82676,79862,85499,90353,92833,90193,84522,99506,96449,90157,87553.583
54959,43834,51443,48308,52601,56871,56569,54918,51614,58883,59135,50964,53341.583
32411,27389,31233,31554,32898,33482,36264,35275,32908,40623,37314,39193,34212
102,94,91,88,86,95,120,114,90,115,96,88,98.25
3610,4254,3954,4063,4329,4051,4084,4169,4091,4817,4591,5589,4300.167
91082,75571,86721,84013,89914,94499,97037,94476,88703,104438,101136,95834,91952
1912092.206,1478859.389,1521462.106,1306156.303,1410454.639,1520223.705,1361564.39,1418573.766,1285870.163,1450847.158,1354529.706,1285387.345,1442168.406
1753509.283,1341866.363,1375566.383,1165016.077,1272230.52,1374946.536,1199489.544,1262756.493,1146643.504,1274469.207,1194660.092,1113132.854,1289523.905
158582.923,136993.027,145895.723,141140.226,138224.118,145277.169,162074.846,155817.273,139226.659,176377.951,159869.614,172254.491,152644.502
5710.404,7650.427,5914.359,7149.726,6611.207,4508.736,10105.61,6122.457,2727.312,5611.678,6842.967,4771.072,6143.83
101999.396,140840.778,136554.792,126812.289,160245.809,86602.135,106040.611,127998.263,104715.425,192697.171,201049.935,226603.772,142680.031
2019802.006,1627350.595,1663931.257,1440118.317,1577311.655,1611334.576,1477710.612,1552694.486,1393312.9,1649156.007,1562422.608,1516762.189,1590992.267
21.885,20.764,18.403,16.355,16.497,16.825,14.667,15.728,15.213,14.58,14.044,14.257,16.472
31.906,30.612,26.74,24.116,24.186,24.177,21.204,22.993,22.216,21.644,20.202,21.842,24.175
4.893,5.002,4.671,4.473,4.202,4.339,4.469,4.417,4.231,4.342,4.284,4.395,4.462
55.984,81.388,64.993,81.247,76.874,47.46,84.213,53.706,30.303,48.797,71.281,54.217,62.533
28.255,33.108,34.536,31.211,37.017,21.378,25.965,30.702,25.597,40.004,43.792,40.545,33.18
22.176,21.534,19.187,17.142,17.542,17.051,15.228,16.435,15.708,15.791,15.449,15.827,17.302
