Styczeń,Luty,Marzec,Kwiecień,Maj,Czerwiec,Lipiec,Sierpień,Wrzesień,Październik,Listopad,Grudzień,Średnia,Suma
223086,211962,234117,219315,213388,236495,239419,219270,234468,241482,215777,230530,226609.083,2719309
107276,107508,116432,100653,97687,116513,106854,97146,106086,101240,90389,86086,102822.5,1233870
115810,104454,117685,118662,115701,119982,132565,122124,128382,140242,125388,144444,123786.583,1485439
138,117,125,145,116,145,177,144,148,173,126,137,140.917,1691
5876,7134,6348,6492,5915,5911,6054,5640,6059,6266,5961,7868,6293.667,75524
0,0,0,0,0,251,373,304,287,402,315,367,328.429,2299
0,0,0,0,0,5660,5681,5336,5772,5864,5646,7501,5922.857,41460
229100,219213,240590,225952,219419,242551,245650,225054,240675,247921,221864,238535,233043.667,2796524
1883130.365,1569674.729,1746247.273,1763005.65,1693202.686,1919974.744,1819254.174,1599611.003,1782807.928,1657801.042,1547089.579,1619945.828,1716812.083,20601745.001
1579062.977,1325329.522,1469248.844,1485680.392,1436113.8,1642093.153,1503458.266,1314053.081,1470750.71,1322454.237,1247975.179,1254415.661,1420886.319,17050635.822
304067.388,244345.207,276998.43,277325.258,257088.885,277881.591,315795.908,285557.922,312057.218,335346.805,299114.4,365530.167,295925.765,3551109.179
2152.963,2014.131,1691.277,2409.221,2178.818,2087.519,3043.286,3600.743,5802.33,2479.01,3847.628,3007.799,2859.561,34314.725
258272.977,295627.462,276732.698,356128.998,319453.567,358621.019,370425.282,309992.688,349702.663,371828.943,312635.474,297163.741,323048.793,3876585.512
0,0,0,0,0,215.751,144.009,141.632,272.424,1514.402,339.101,145.915,396.176,2773.234
0,0,0,0,0,358405.268,370281.273,309851.056,349430.238,370314.54,312296.374,297017.826,338228.082,2367596.575
2143556.304,1867316.322,2024671.249,2121543.869,2014835.07,2280683.282,2192722.743,1913204.434,2138312.921,2032108.994,1863572.682,1920117.367,2042720.436,24512645.237
8.441,7.405,7.459,8.039,7.935,8.118,7.599,7.295,7.604,6.865,7.17,7.027,7.576,90.957
14.72,12.328,12.619,14.76,14.701,14.094,14.07,13.527,13.864,13.063,13.807,14.572,13.819,166.125
2.626,2.339,2.354,2.337,2.222,2.316,2.382,2.338,2.431,2.391,2.386,2.531,2.391,28.653
15.601,17.215,13.53,16.615,18.783,14.397,17.194,25.005,39.205,14.33,30.537,21.955,20.293,244.367
43.954,41.439,43.594,54.857,54.007,60.67,61.187,54.963,57.716,59.341,52.447,37.769,51.329,621.944
0,0,0,0,0,0.86,0.386,0.466,0.949,3.767,1.077,0.398,1.206,7.903
0,0,0,0,0,63.322,65.179,58.068,60.539,63.151,55.313,39.597,57.106,405.169
9.356,8.518,8.415,9.389,9.183,9.403,8.926,8.501,8.885,8.197,8.4,8.05,8.765,105.223
